Name,Artist,Album,Track Number
Harm In Change,Toro Y Moi,Anything In Return,1
Say That,Toro Y Moi,Anything In Return,2
So Many Details,Toro Y Moi,Anything In Return,3
Rose Quartz,Toro Y Moi,Anything In Return,4
Touch,Toro Y Moi,Anything In Return,5
Cola,Toro Y Moi,Anything In Return,6
Studies,Toro Y Moi,Anything In Return,7
High Living,Toro Y Moi,Anything In Return,8
Grown Up Calls,Toro Y Moi,Anything In Return,9
Cake,Toro Y Moi,Anything In Return,10
Day One,Toro Y Moi,Anything In Return,11
Never Matter,Toro Y Moi,Anything In Return,12
How's It Wrong,Toro Y Moi,Anything In Return,13
No Cave,Maserati,Rehumanizer,1
Living Cell,Maserati,Rehumanizer,2
Montes Jura,Maserati,Rehumanizer,3
End of Man,Maserati,Rehumanizer,4
Rehumanizer I,Maserati,Rehumanizer,5
Rehumanizer II,Maserati,Rehumanizer,6
heartsigh,Purity Ring,another eternity,1
bodyache,Purity Ring,another eternity,2
push pull,Purity Ring,another eternity,3
repetition,Purity Ring,another eternity,4
stranger than earth,Purity Ring,another eternity,5
begin again,Purity Ring,another eternity,6
dust hymn,Purity Ring,another eternity,7
flood on the floor,Purity Ring,another eternity,8
sea castle,Purity Ring,another eternity,9
stillness in woe,Purity Ring,another eternity,10
Intro,The xx,XX,1
VCR,The xx,XX,2
Crystalised,The xx,XX,3
Islands,The xx,XX,4
Heart Skipped A Beat,The xx,XX,5
Fantasy,The xx,XX,6
Shelter,The xx,XX,7
Basic Space,The xx,XX,8
Infinity,The xx,XX,9
Night Time,The xx,XX,10
Stars,The xx,XX,11
Closer to the Bone,Breathers,Transitions,1
New Life,Breathers,Transitions,2
Piece of My Head,Breathers,Transitions,3
Krokodil,Breathers,Transitions,4
Mars One,Breathers,Transitions,5
Scientist,Breathers,Transitions,6
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,1
Cover Me,Bruce Springsteen,Born In The U.S.A.,2
Darlington County,Bruce Springsteen,Born In The U.S.A.,3
Working on the Highway,Bruce Springsteen,Born In The U.S.A.,4
Downbound Train,Bruce Springsteen,Born In The U.S.A.,5
I'm on Fire,Bruce Springsteen,Born In The U.S.A.,6
No Surrender,Bruce Springsteen,Born In The U.S.A.,7
Bobby Jean,Bruce Springsteen,Born In The U.S.A.,8
I'm Goin' Down,Bruce Springsteen,Born In The U.S.A.,9
Glory Days,Bruce Springsteen,Born In The U.S.A.,10
Dancing in the Dark,Bruce Springsteen,Born In The U.S.A.,11
My Hometown,Bruce Springsteen,Born In The U.S.A.,12
Track 1 R,'68,In Humor And Sadness,1
Track 2 e,'68,In Humor And Sadness,2
Track 3 g,'68,In Humor And Sadness,3
Track 4 r,'68,In Humor And Sadness,4
Track 5 e,'68,In Humor And Sadness,5
Track 6 t,'68,In Humor And Sadness,6
Track 7 n,'68,In Humor And Sadness,7
Track 8 o,'68,In Humor And Sadness,8
Track 9 t,'68,In Humor And Sadness,9
Track 10 .,'68,In Humor And Sadness,10
Free Me,Youth Lagoon,Savage Hills Ballroom,9
Again,Youth Lagoon,Savage Hills Ballroom,8
Kerry,Youth Lagoon,Savage Hills Ballroom,7
Rotten Human,Youth Lagoon,Savage Hills Ballroom,6
Doll's Estate,Youth Lagoon,Savage Hills Ballroom,5
No One Can Tell,Youth Lagoon,Savage Hills Ballroom,4
The Knower,Youth Lagoon,Savage Hills Ballroom,3
Highway Patrol Stun Gun,Youth Lagoon,Savage Hills Ballroom,2
Officer Telephone,Youth Lagoon,Savage Hills Ballroom,1
X-Ray,Youth Lagoon,Savage Hills Ballroom,10
Weight of Love,The Black Keys,Turn Blue,1
In Time,The Black Keys,Turn Blue,2
Turn Blue,The Black Keys,Turn Blue,3
Fever,The Black Keys,Turn Blue,4
Year in Review,The Black Keys,Turn Blue,5
Bullet In The Brain,The Black Keys,Turn Blue,6
It's Up to You Now,The Black Keys,Turn Blue,7
Waiting on Words,The Black Keys,Turn Blue,8
10 Lovers,The Black Keys,Turn Blue,9
In Our Prime,The Black Keys,Turn Blue,10
Gotta Get Away,The Black Keys,Turn Blue,11
Lonely Boy,The Black Keys,El Camino,1
Dead And Gone,The Black Keys,El Camino,2
Gold On The Ceiling,The Black Keys,El Camino,3
Little Black Submarines,The Black Keys,El Camino,4
Money Maker,The Black Keys,El Camino,5
Run Right Back,The Black Keys,El Camino,6
