Name,Artist,Album,Track Number
Foolin',Devendra Banhart,What Will We Be,14
Only In My Dreams,Ariel Pink's Haunted Graffiti,Mature Themes,4
Song For America,Destroyer,Kaputt,8
Brother,Mac Demarco,Salad Days,3
Alsatian Darn,Panda Bear,Tomboy,7
Dream Logic,Bradford Cox,Teenage (Original Soundtrack),15
Pacific Theme,Broken Social Scene,You Forgot It In People,6
Band Of Gold,Marcia Griffiths,Put A Little Love In Your Heart,7
Right On For The Darkness,Willy Wright,Oldies But Goodies - Northern Soul,16
About My Girls,Dominant Legs,Young at Love and Life,3
Tropical Birds,Miniature Tigers,F O R T R E S S,8
Phones Don't Feud,Holiday Shores,Columbus'd The Whim,2
California Sunrise,Dirty Gold,Roar,2
Diplomat’s Son,Vampire Weekend,Contra,9
Mother and Child Reunion,Paul Simon,The Essential Paul Simon,1
Into Black,Blouse,Blouse,4
Game of Diamonds,Deerhunter,Rainwater Cassette Exchange,4
How Long Must I Wait,Dr. Dog,Be The Void,4
Monoliths,Lotus Plaza,Spooky Action At a Distance,6
Neptune's Net,M. Ward,Post-War,9
Feel It All Around,Washed Out,Life Of Leisure,4
Primitive,Real Estate,Atlas,7
Endless Blue,The Horrors,Skying,4
Heaven's On Fire,The Radio Dept.,Heaven's On Fire,1
You're Welcome,The Beach Boys,The Smile Sessions (Box Set),20
Walkabout (W/ Noah Lennox),Atlas Sound,Logos,3
Oh My God,Cults,Cults,7
Mirror Image,Ducktails,Mirror Image,2
Bam Bam,Sister Nancy,Total Reggae: Summer Hits,3
Stack O' Lee Blues,Mississippi John Hurt,1928 Sessions,2
Savage Night At The Opera,Destroyer,Kaputt,3
Early Warnings,Foreign Born,Person To Person,5
White Sky,Vampire Weekend,Contra,2
Dropla,Youth Lagoon,Wondrous Bughouse,6
Early Warnings,Foreign Born,Person To Person,5
Warm Heart of Africa (featuring Ezra Koenig),The Very Best,Warm Heart Of Africa,3
This Must Be The Place (Naive Melody),Talking Heads,Speaking In Tongues,9
Self Service,Studio,West Coast,3
It's Real,Real Estate,Days,3
Beach Party,Air France,On Trade Winds,3
Go Outside,Cults,Cults,2
"Rudy, A Message to You",Dandy Livingstone,Suzanne Beware of the Devil,1
The Good Night Whistle,Beachwood Sparks,Once We Were Trees,14
Different Mirrors,Lotus Plaza,The Floodlight Collective,4
There Is a Mountain (Single Version),Donovan,Donovan's Greatest Hits,8
Leave Everywhere,Toro Y Moi,Leave Everywhere,1
Ooh La La,Faces,Ooh La La,10
Kaputt,Destroyer,Kaputt,6
Alright,Supergrass,I Should Coco,4
Youth,Beach Fossils,Beach Fossils,2
Cactus,Tanlines,Mixed Emotions,10
Remember Our Days,Lotus Plaza,Spooky Action At a Distance,9
How Do I Know,Here We Go Magic,A Different Ship,8
Despicable Dogs (Washed Out Remix),Washed Out,Small Black / Washed Out,2
Vis-A-Vis,Allah-Las,Allah-Las,10
Make Me Yours,Bettye Swann,The Money Recordings,1
Say That,Toro Y Moi,Anything In Return,2
Graceland,Paul Simon,Graceland (25th Anniversary Deluxe Edition),2
After the Moment,Craft Spells,Idle Labor,6
007 (Shanty Town),Desmond Dekker,This Is Crucial Reggae - Desmond Dekker,3
Scandinavian Crush,Craft Spells,Idle Labor,2
Drumilly Rock,King Tubby,Dub Massive Vol. 1,16
Your Fine Petting Duck,Devendra Banhart,Mala,6
Swimmers,Broken Social Scene,Broken Social Scene,8
Won't You Come Over,Devendra Banhart,Mala,9
Summer Holiday,Wild Nothing,Gemini,2
Starting Over,Black Lips,200 Million Thousand,3
14th of July (Jens Lekman Remix),Shout Out Louds,14th of July (Jens Lekman Remix),1
Letter of Intent,Ducktails,The Flower Lane,9
It All Feels Right,Washed Out,It All Feels Right - Single,1
Wait In The Dark,Memory Tapes,Player Piano,2
Varsity,Smith Westerns,Varsity,1
So Good At Being in Trouble,Unknown Mortal Orchestra,II,3
Cranberry,The Ruby Suns,Fight Softly,4
Falling Back,Washed Out,Paracosm,8
La Rosita,Sol K. Bright's Hollywaiians,Hawaiian Steel Guitar Classics,6
Equinox,Monster Rally,Beyond the Sea,8
Talking Backwards,Real Estate,Atlas,3
Naive Dream,The Mary Onettes,Portico:,2
Yes Way,Tanlines,Mixed Emotions,5
A Dream of You and Me,Future Islands,Singles,10
Home By Now,Bombay Bicycle Club,"So Long, See You Tomorrow",4
Too High,Painted Palms,Forever,1
Hang On to Life,"Ariel Pink, Jorge Elbrecht",Mexican Summer: Five Years,8
Jogging gorgeous summer,Islands,Return to the Sea,7
Exactly Nothing,Real Estate,Easy,2
