Name,Artist,Album,Track Number
Love Child,Diana Ross & The Supremes,Motown: The Complete No. 1's,47
Africa,Toto,Toto IV,10
Rosalita (Come Out Tonight),Bruce Springsteen,"The Wild, the Innocent, & The E Street Shuffle",6
The Swimming Song (Album Version),Loudon Wainwright III,Attempted Mustache,1
Bohemian Rhapsody,Queen,Greatest Hits 1 & 2,1
Dancing Queen,ABBA,ABBA Gold,1
Crazy On You,Heart,Dreamboat Annie,3
Nights On Broadway,Bee Gees,Main Course,1
This Year,The Mountain Goats,The Sunset Tree,3
Good Vibrations (2001 - Remaster),The Beach Boys,Good Vibrations 40th Anniversary,1
The Harder They Come,Jimmy Cliff,Ultimate Collection: Jimmy Cliff,8
Suspicious Minds (Remastered),Elvis Presley,The Essential Elvis Presley,30
All Through the Night,Cyndi Lauper,She's So Unusual,6
