Name,Artist,Album,Track Number
Shake 'Em Loose Tonight,Rumspringa,Sway,9
Ball And Biscuit,The White Stripes,Elephant,8
Jubilee,The Willowz,Chautauqua,3
I'll Be Your Man,The Black Keys,The Big Come Up,3
Outta My System,My Morning Jacket,Circuital,5
Lodi,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,5
Someday Never Comes,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,20
Hard Breaks,Alberta Cross,The Thief and The Heartbreaker (UK Mini Album),3
I'm A Man,Bo Diddley,Bo Diddley,2
Bad Girl,The Detroit Cobras,Mink Rat or Rabbit,5
Angels,Black Mountain,In The Future,2
Shine A LIght,Wolf Parade,Apologies To The Queen Mary,7
This Heart's On Fire,Wolf Parade,Apologies To The Queen Mary,12
Going Up The Country,Canned Heat,The Best Of Canned Heat,7
Let's Work Together,Canned Heat,The Best Of Canned Heat,3
Bullfrog Blues (Stereo),Canned Heat,The Best Of Canned Heat,4
