Name,Artist,Album,Track Number
High Living,Toro Y Moi,Anything In Return,8
Cola,Toro Y Moi,Anything In Return,6
Grown Up Calls,Toro Y Moi,Anything In Return,9
Studies,Toro Y Moi,Anything In Return,7
Never Matter,Toro Y Moi,Anything In Return,12
Cake,Toro Y Moi,Anything In Return,10
Day One,Toro Y Moi,Anything In Return,11
How's It Wrong,Toro Y Moi,Anything In Return,13
Touch,Toro Y Moi,Anything In Return,5
Rose Quartz,Toro Y Moi,Anything In Return,4
So Many Details,Toro Y Moi,Anything In Return,3
Say That,Toro Y Moi,Anything In Return,2
Harm In Change,Toro Y Moi,Anything In Return,1
Morning Bell,Radiohead,Kid A (Collector's Edition),9
Idioteque,Radiohead,Kid A (Collector's Edition),8
In Limbo,Radiohead,Kid A (Collector's Edition),7
Optimistic,Radiohead,Kid A (Collector's Edition),6
Treefingers,Radiohead,Kid A (Collector's Edition),5
Kid A,Radiohead,Kid A (Collector's Edition),2
True Love Waits (Live In Oslo),Radiohead,Kid A (Collector's Edition),23
Motion Picture Soundtrack,Radiohead,Kid A (Collector's Edition),10
"Motion Picture Soundtrack (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),22
"Everything In Its Right Place (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),21
"Idioteque (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),20
"How To Disappear Completely (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),18
"The National Anthem (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),17
"Morning Bell (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),16
"Optimistic (Lamacq Live In Concert: Victoria Park, Warrington, England - 02/10/00)",Radiohead,Kid A (Collector's Edition),15
The National Anthem (BBC Radio One Evening Session - 15/11/00),Radiohead,Kid A (Collector's Edition),14
Idioteque (BBC Radio One Evening Session - 15/11/00),Radiohead,Kid A (Collector's Edition),13
Everything In Its Right Place (BBC Radio One Evening Session - 15/11/00),Radiohead,Kid A (Collector's Edition),11
How To Disappear Completely (BBC Radio One Evening Session - 15/11/00),Radiohead,Kid A (Collector's Edition),12
"In Limbo (Live At Canal+ Studios, Paris)",Radiohead,Kid A (Collector's Edition),19
Everything In Its Right Place,Radiohead,Kid A (Collector's Edition),1
The National Anthem,Radiohead,Kid A (Collector's Edition),3
How To Disappear Completely,Radiohead,Kid A (Collector's Edition),4
Crystalised,The xx,XX,3
VCR,The xx,XX,2
Islands,The xx,XX,4
Heart Skipped A Beat,The xx,XX,5
Fantasy,The xx,XX,6
Shelter,The xx,XX,7
Basic Space,The xx,XX,8
Infinity,The xx,XX,9
Night Time,The xx,XX,10
Stars,The xx,XX,11
Intro,The xx,XX,1
Mars One,Breathers,Transitions,5
New Life,Breathers,Transitions,2
Krokodil,Breathers,Transitions,4
Piece of My Head,Breathers,Transitions,3
Scientist,Breathers,Transitions,6
Closer to the Bone,Breathers,Transitions,1
81 Dreams,Holiday Mountain,Become Who You Are,9
Honey Bee,Holiday Mountain,Become Who You Are,5
Progress,Holiday Mountain,Become Who You Are,4
Black Magic Sugar,Holiday Mountain,Become Who You Are,3
Happy People,Holiday Mountain,Become Who You Are,2
The Desert,Holiday Mountain,Become Who You Are,8
Reaction,Holiday Mountain,Become Who You Are,7
Colorado,Holiday Mountain,Become Who You Are,10
Chase You Down,Holiday Mountain,Become Who You Are,6
Patience Now,Holiday Mountain,Become Who You Are,1
Track 7 n,'68,In Humor And Sadness,7
Track 8 o,'68,In Humor And Sadness,8
