Name,Artist,Album,Track Number
Golden Age,Beach Fossils,Beach Fossils,7
Sometimes,Beach Fossils,Beach Fossils,1
Youth,Beach Fossils,Beach Fossils,2
The Horse,Beach Fossils,Beach Fossils,9
Let's Go Surfing,The Drums,Summertime!,2
"Don't Be A Jerk, Jonny",The Drums,Summertime!,4
Continuous Thunder,Japandroids,Celebration Rock,8
Take It Easy,Surfer Blood,Astro Coast,3
Floating Vibes,Surfer Blood,Astro Coast,1
I'm Not Ready,Surfer Blood,Tarot Classics,1
It's Real,Real Estate,It's Real,1
When I'm With You,Best Coast,Crazy For You,13
Wish He Was You,Best Coast,Something In The Way,2
Something In The Way,Best Coast,Something In The Way,1
Master Of None,Beach House,Beach House,4
Apple Orchard,Beach House,Beach House,3
Afternoon,Youth Lagoon,The Year Of Hibernation,3
Feel It All Around,Washed Out,Life Of Leisure,4
Feel Flows,The Beach Boys,Surf's Up,6
Ivy Covered House,Ducktails,The Flower Lane,1
Ponytail,Panda Bear,Person Pitch,7
Comfy In Nautica,Panda Bear,Person Pitch,1
"Oh, Mojave",The Ruby Suns,Sea Lion,2
Blessa,Toro Y Moi,Causers Of This,1
Can't Help But Smiling,Devendra Banhart,What Will We Be,1
Ohm,Yo La Tengo,Fade,1
