Name,Artist,Album,Track Number
Victory At Monterey,Albert Hammond Jr.,Como Te Llama?,7
Seeing Red,Alpine,A Is For Alpine,6
Matilda,alt-J,An Awesome Wave,8
Something Good,alt-J,An Awesome Wave,6
Here Comes The Night Time,Arcade Fire,Reflektor,4
Speaking in Tongues (feat. David Byrne),Arcade Fire,The Suburbs Deluxe,18
That Beep,Architecture In Helsinki,That Beep,1
Round And Round,Ariel Pink's Haunted Graffiti,Before Today,5
Futura,Battles,Gloss Drop,3
"Me, White Noise",Blur,Think Tank (Special Edition),19
À tout à l'heure,Bibio,Silver Wilkinson,5
Caribbean Queen (No More Love on the Run),Billy Ocean,Greatest Hits,3
All,Blackbird Blackbird,Boracay Planet,2
Miracle Mile,Cold War Kids,Dear Miss Lonelyhearts,1
Party Talk,Craft Spells,Idle Labor,4
Not In Love,Crystal Castles,Not In Love feat. Robert Smith,1
High Road,Cults,High Road,1
So Haunted,Cut Copy,In Ghost Colours,7
Doin' it Right,Daft Punk,Random Access Memories,12
Let's Dance (Single Version; 2002 Digital Remaster),David Bowie,Best Of Bowie,14
Suffragette City,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (40th Anniversary Edition) [Remastered],10
Strange Overtones,David Byrne & Brian Eno,Everything That Happens Will Happen Today,7
I Am An Ape,David Byrne & St. Vincent,Love This Giant,5
Nothing Ever Happened,Deerhunter,Microcastle,9
Tear It Up,Delta Spirit,Delta Spirit,2
Trashcan,Delta Spirit,Ode To Sunshine,2
Für Hildegard von Bingen,Devendra Banhart,Mala,3
Come On Eileen,Dexys Midnight Runners,Too Rye Ay,10
Long Train Runnin' (2006 Remastered Version),The Doobie Brothers,Best of the Doobies,2
How Long Must I Wait,Dr. Dog,Be The Void,4
Don't Bring Me Down,Electric Light Orchestra,All Over The World: The Very Best Of ELO,3
Mr. Blue Sky,Electric Light Orchestra,ELO's Greatest Hits,11
MoneyGrabber,Fitz And The Tantrums,Pickin' Up The Pieces,4
The French Open,Foals,Antidotes,1
My Number,Foals,Holy Fire,3
Balance,Future Islands,On the Water,8
Put a Light On,Generationals,Heza,5
Yours Forever,Generationals,Actor-Caster,3
Lover's Game,Geographer,Myth,5
Lust For Life,Girls,Lust For Life,1
Don?t Look Away,The Helio Sequence,Love And Distance,3
The Captive Mind,The Helio Sequence,Keep Your Eyes Ahead,3
Backwards Time,Here We Go Magic,The January EP,5
Collector,Here We Go Magic,Pigeons,2
How Do I Know,Here We Go Magic,A Different Ship,8
The Same Old Ground,He's My Brother She's My Sister,Nobody Dances in This Town,4
Sea Within A Sea,The Horrors,Primary Colours,10
Grace for Saints and Ramblers,Iron & Wine,Ghost On Ghost,5
Long Shadows,Josh Ritter,So Runs The World Away,13
Adjust Glasses,Kisses,Kids in La,9
All My Friends,LCD Soundsystem,Sound Of Silver,5
Dance Yrself Clean,LCD Soundsystem,This Is Happening,1
Losing My Edge,LCD Soundsystem,LCD Soundsystem,10
Patty Lee,Les Savy Fav,Let's Stay Friends,4
Sleepless In Silverlake,Les Savy Fav,Root For Ruin,3
Hurly / Burly,Man Man,Rabbit Habits,2
Piranhas Club,Man Man,Life Fantastic [Deluxe Edition] (Deluxe Edition),2
Maracas,Mates of State,Mountaintops,2
Corinne,Metronomy,The English Riviera,9
The Look,Metronomy,The English Riviera,4
Ohio,Neil Young,Greatest Hits,8
Landline,Oberhofer,Time Capsules II,2
Clark Gable,The Postal Service,Give Up,6
A Tattered Line of String,The Postal Service,A Tattered Line of String - Single,1
Heaven's On Fire,The Radio Dept.,Clinging to a Scheme,2
Orifice Origami,Reptar,Body Faucet,4
Water Runs,Reptar,Body Faucet,12
Cranberry,The Ruby Suns,Fight Softly,4
Cecilia,Simon & Garfunkel,Bridge Over Troubled Water,3
Bobby Brown,The Soft Pack,Strapped,5
Saratoga,The Soft Pack,Strapped,1
They Say,The Soft Pack,Strapped,3
Girls Just Want To Have Fun,STRFKR,Jupiter,6
Chicago (Multiple Personality Disorder version),Sufjan Stevens,The Avalanche,19
Alright,Supergrass,Supergrass Is 10 - The Best Of 94-04,2
Crazy,Summer Camp,Summer Camp,3
Done Forever,Summer Camp,Welcome to Condale,9
Memories (Major Version),Summer Camp,Down,2
Girlfriend Is Better (Remastered Version ),Talking Heads,The Best Of Talking Heads,12
This Must Be The Place (Naive Melody),Talking Heads,Speaking In Tongues,9
All Of Me,Tanlines,Mixed Emotions,2
Not The Same (Extended Version),Tanlines,Not The Same,1
My Better Self,Tennis,Young & Old,3
Origins,Tennis,Young & Old,2
Lolita,Throw Me The Statue,Moonbeams,2
Waving At The Shore,Throw Me The Statue,Creaturesque,1
Freaking Out,Toro Y Moi,Freaking Out,2
Second Song,TV On The Radio,Nine Types of Light (Deluxe),1
Wolf Like Me,TV On The Radio,Return To Cookie Mountain,5
I Was Born A Unicorn,The Unicorns,Who Will Cut Our Hair When We're Gone?,9
How Can U Luv Me,Unknown Mortal Orchestra,Unknown Mortal Orchestra,5
Heaven,The Walkmen,Heaven,11
Mexican Radio,Wall Of Voodoo,Mexican Radio,1
Warpaint,Warpaint,The Fool,2
Shadow,Wild Nothing,Nocturne,1
Night Time,The xx,XX,10
O.N.E.,Yeasayer,O.N.E.,1
Mr. Tough,Yo La Tengo,I Am Not Afraid Of You And I Will Beat Your Ass,4
Ohm,Yo La Tengo,Fade,1
The Room Got Heavy,Yo La Tengo,I Am Not Afraid Of You And I Will Beat Your Ass,7
Bobby,Youth Lagoon,The Year Of Hibernation,9
Dropla,Youth Lagoon,Wondrous Bughouse,6
Heavy Pop,WU LYF,Go Tell Fire To The Mountain,10
WHALE,Yellow Ostrich,The Mistress,2
The Beat Comes,Snowden,No One In Control,4
Beatnik,The Clean,Anthology,12
War Zone,Jr Jr,The Speed of Things,13
Cayucos,Cayucas,Bigfoot,1
Diane Young,Vampire Weekend,Modern Vampires of the City,4
Easy Lover,Phil Collins,...Hits,3
Solitary Gun,Rogue Wave,Permalight,1
Nights On Broadway,Bee Gees,Main Course,1
Africa,Toto,Toto IV,10
Pull Me Under,Bruce Peninsula,Open Flames,3
The Plot,White Rabbits,Fort Nightly,2
Glory,Wye Oak,Shriek,4
Paprika Expose,Bradford Cox,Teenage (Original Soundtrack),8
The Breakup,The Rural Alberta Advantage,Departing,2
Thunder Clatter,Wild Cub,Youth,3
The Skin of My Yellow Country Teeth,Clap Your Hands Say Yeah,Clap Your Hands Say Yeah,6
We Don't Have To Take Our Clothes Off,Jermaine Stewart,Frantic Romantic,1
Stop! In The Name Of Love,Diana Ross & The Supremes,The Definitive Collection,4
Late in the Evening,Paul Simon,The Essential Paul Simon,10
The Obvious Child,Paul Simon,The Essential Paul Simon,25
Mr Noah,Panda Bear,Mr Noah,1
Heart It Races,Dr. Dog,Heart It Races,1
25 Or 6 To 4 (Remastered),Chicago,Chicago II,14
American Girl,Tom Petty and the Heartbreakers,Greatest Hits,1
Never Be Alone,Simian,Never Be Alone,1
