Name,Artist,Album,Track Number
Ride Like The Wind,Christopher Cross,Christopher Cross,6
Is She Really Going Out With Him?,Joe Jackson,Look Sharp! (Remastered),3
The Way It Is (Remastered),Bruce Hornsby,Greatest Radio Hits,1
Sailing,Christopher Cross,Christopher Cross,8
All Out of Love,Air Supply,Love Songs,3
Careless Whisper (Remastered),George Michael,Twenty Five,16
Steppin' Out,Joe Jackson,Greatest Hits: Joe Jackson,9
Private Eyes (Remastered),Hall & Oates,The Essential Daryl Hall & John Oates,17
Hold On,Wilson Phillips,Wilson Phillips,1
Monte Carlo,U.S. Royalty,Mirrors,3
Baker Street,Gerry Rafferty,City To City,2
Higher Love (Full Album Version),Steve Winwood,Chronicles,8
Higher Love (Full Album Version),Steve Winwood,The Finer Things,57
