Name,Artist,Album,Track Number
Swim and Sleep (Like a Shark),Unknown Mortal Orchestra,II,2
Transatlanticism,Death Cab for Cutie,Transatlanticism,7
Spanish Sahara,Foals,Total Life Forever,5
So Many Details,Toro Y Moi,Anything In Return,3
The District Sleeps Alone Tonight (Tonight Album),The Postal Service,Give Up,1
Separator,Radiohead,The King Of Limbs,8
Islands,The xx,XX,4
Underneath The Sycamore,Death Cab for Cutie,Codes and Keys,9
Intro,The xx,XX,1
Fitzpleasure,alt-J,An Awesome Wave,10
Wake Up,Arcade Fire,Funeral,7
Obstacle 1,Interpol,Turn On The Bright Lights,2
Paris,Friendly Fires,Friendly Fires,3
The House That Heaven Built,Japandroids,The House That Heaven Built,1
Für Hildegard von Bingen,Devendra Banhart,Mala,3
Midi Drift,Games,That We Can Play,2
Keep You,Class Actress,Rapprocher,1
Nightcall,Kavinsky,Nightcall,1
Midnight City,M83,"Hurry Up, We're Dreaming",2
Not In Love,Crystal Castles,Not In Love feat. Robert Smith,1
A Real Hero,College,A Real Hero EP,1
Were Before,Cults,Static,5
Nobody Gets Me But You,Spoon,Transference,11
