Name,Artist,Album,Track Number
Don't Stop Believin',Journey,Greatest Hits,2
Time After Time,Cyndi Lauper,She's So Unusual,4
Forever Young,Alphaville,Forever Young,6
A Whiter Shade Of Pale,Procol Harum,Pirate Radio,20
I'll Stand By You (2009 Remastered Version),Pretenders,The Best Of The Pretenders (Digital Version) (US Version),9
The Promise,When In Rome,When In Rome,1
True Colors,Cyndi Lauper,True Colors,4
Groovy Kind Of Love,Phil Collins,Love Songs (A Compilation Old and New),6
The Lady In Red,Chris de Burgh,The Best Of Chris de Burgh 20th Century Masters The Millennium Collection,5
Eternal Flame,The Bangles,Everything,5
Take My Breath Away,Berlin,Take My Breath Away,1
"Say Hello, Wave Goodbye (7"" Single Version)",Soft Cell,The Singles,4
Always On My Mind (Demo Version; 2001 Remastered Version),Pet Shop Boys,Actually: Further Listening 1987-1988,19
