Name,Artist,Album,Track Number
The House That Heaven Built,Japandroids,The House That Heaven Built,1
We Can't Be Beat,The Walkmen,Heaven,1
River,Akron/Family,"Set 'Em Wild, Set 'Em Free",2
Wake Up,Arcade Fire,Funeral,7
Don't Try and Hide It,The Dodos,No Color,5
Young Hearts Spark Fire,Japandroids,Post-Nothing,2
Airplanes,Local Natives,Gorilla Manor,2
Ho Hey,The Lumineers,The Lumineers,5
King of Carrot Flowers Pts. 2 & 3,Neutral Milk Hotel,In the Aeroplane Over the Sea,2
I Woke Up Today,Port O'Brien,All We Could Do Was Sing,1
Sebastian,Reptar,Body Faucet,1
Loop de Loop,The Walkmen,Pussy Cats Starring The Walkmen,8
Ragged Wood,Fleet Foxes,Fleet Foxes,3
"New York, I Love You But You're Bringing Me Down",LCD Soundsystem,Sound Of Silver,9
Long Shadows,Josh Ritter,So Runs The World Away,13
This Year,The Mountain Goats,The Sunset Tree,3
Starman (2012 Remastered Version),David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),4
Cecilia,Simon & Garfunkel,Greatest Hits,14
Mrs. Robinson,Simon & Garfunkel,The Essential Simon & Garfunkel,17
Old Man,Neil Young,Harvest (Remastered Version),6
Ed Is A Portal,Akron/Family,Love Is Simple,2
Never Ending Song Of Love,Delaney & Bonnie,Rhino Hi-Five: Delaney & Bonnie,4
